bnumber	rank	strand	begin	end
b1819	1811	+	1903894	1904746
b1820	1812	+	1904800	1905259
b1821	1813	+	1905687	1906254
b1822	1814	-	1906250	1907060
b1823	1815	-	1907225	1907435
b1824	1816	-	1907447	1907591
b1825	1817	-	1908260	1908548
b1826	1818	-	1908622	1908766
b4536	1819	+	1908924	1909164
b1827	1820	-	1909307	1910099
b1828	1821	+	1910275	1911649
b1829	1822	-	1911694	1912576
b1830	1823	-	1912767	1914816
b1831	1824	-	1914835	1915534
b1832	1825	-	1915630	1916128
b1833	1826	+	1916257	1917541
b1834	1827	+	1917509	1920143
b1835	1828	+	1920222	1921662
b1836	1829	+	1921779	1922016
b1837	1830	+	1922120	1922312
b1838	1831	-	1922312	1922969
b1839	1832	-	1923364	1923706
b1840	1833	-	1923718	1924591
b1841	1834	-	1924594	1924969
b1842	1835	+	1925107	1925338
b1843	1836	+	1925439	1926096
b1844	1837	+	1926119	1926782
b1845	1838	-	1926778	1928839
b1846	1839	-	1929047	1929707
b1847	1840	-	1930033	1930390
b1848	1841	-	1930456	1930747
b1849	1842	+	1930880	1932059
b1850	1843	-	1932114	1932756
b1851	1844	-	1932792	1934604
b1852	1845	-	1934838	1936314
b1853	1846	+	1936651	1937521
b1854	1847	+	1937648	1939091
b1855	1848	-	1939221	1940193
b1856	1849	-	1940312	1941635
b1857	1850	-	1941650	1942583
b1858	1851	+	1942661	1943417
b1859	1852	+	1943413	1944199
b1860	1853	-	1944345	1945356
b1861	1854	-	1945364	1945976
b4677	1855	-	1946114	1946180
b1862	1856	+	1946250	1946853
b1863	1857	-	1946854	1947376
b1864	1858	-	1947410	1948151
b1865	1859	-	1948179	1948632
b1866	1860	-	1948749	1950522
b1867	1861	+	1950831	1951398
b1868	1862	+	1951394	1952213
b1869	1863	+	1952265	1952661
b1870	1864	+	1952701	1953445
b1871	1865	+	1953441	1954413
b1872	1866	-	1954577	1957007
b1873	1867	-	1957031	1958132
b1874	1868	-	1958519	1959266
b1875	1869	-	1959279	1959846
b1876	1870	+	1960061	1961795
b4778	1871	-	1961836	1961881
b1877	1872	+	1961971	1962460
b1878	1873	-	1962579	1962972
b1879	1874	-	1962971	1965050
b1880	1875	-	1965042	1966191
b1881	1876	-	1966392	1967037
b1882	1877	-	1967047	1967437
b1883	1878	-	1967451	1968501
b1884	1879	-	1968503	1969364
b1885	1880	-	1969382	1970984
b1886	1881	-	1971029	1972691
b1887	1882	-	1972835	1973339
b1888	1883	-	1973359	1975033
b1889	1884	-	1975328	1976255
b1890	1885	-	1976251	1977139
b1891	1886	-	1977265	1977844
b1892	1887	-	1977846	1978197
b1893	1888	-	1978517	1979021
b1894	1889	-	1978939	1979215
b1895	1890	+	1979752	1980181
b1896	1891	-	1980187	1981612
b1897	1892	-	1981586	1982387
b4460	1893	-	1982553	1983540
b1900	1894	-	1983554	1985069
b1901	1895	-	1985138	1986128
b1902	1896	+	1986924	1987428
b4537	1897	-	1987506	1987758
b4663	1898	-	1987872	1987959
b1904	1899	+	1988221	1988545
b1905	1900	+	1988715	1989213
b1906	1901	-	1989250	1989490
b1907	1902	+	1989680	1990892
b1908	1903	-	1990953	1991619
b1912	1904	-	1992268	1992817
b1913	1905	-	1992873	1994706
b1914	1906	-	1994702	1995359
b4752	1907	+	1995654	1995831
b1915	1908	+	1995817	1996042
b1916	1909	-	1996109	1996832
b1917	1910	-	1997061	1997814
b1918	1911	-	1997810	1998479
b1919	1912	-	1998493	1999480
b1920	1913	-	1999584	2000385
b1921	1914	-	2000472	2001024
b1922	1915	-	2001069	2001789
b1923	1916	-	2002109	2003606
b1924	1917	+	2003871	2005278
b1925	1918	+	2005302	2005713
b1926	1919	+	2005712	2006078
b1927	1920	+	2006155	2007643
b1928	1921	-	2007676	2008090
b1929	1922	+	2008276	2009482
b1930	1923	+	2009478	2009712
b1931	1924	+	2009820	2010489
b1932	1925	+	2010599	2011079
b1937	1926	-	2012699	2013014
b1938	1927	+	2013228	2014887
b1939	1928	+	2014879	2015875
b1940	1929	+	2015867	2016554
b1941	1930	+	2016553	2017927
b1942	1931	+	2017945	2018389
b1943	1932	+	2018385	2019513
b1944	1933	+	2019617	2020082
b1945	1934	+	2020086	2021091
b1946	1935	+	2021087	2021501
b1947	1936	+	2021503	2021869
b1948	1937	+	2021868	2022606
b1949	1938	+	2022615	2022885
b1950	1939	+	2022892	2023678
b1951	1940	+	2023967	2024591
b1952	1941	-	2024634	2024823
b1953	1942	+	2024985	2025213
b1955	1943	+	2025510	2026326
b1956	1944	-	2026322	2028017
b1957	1945	-	2028187	2028370
b1958	1946	-	2028448	2029366
b1959	1947	+	2029538	2030459
b1960	1948	-	2030447	2030918
b1961	1949	-	2030898	2032317
b1962	1950	-	2032383	2033079
b1963	1951	-	2033118	2033484
b1967	1952	+	2035834	2036686
b1968	1953	-	2036793	2038152
b1969	1954	-	2038151	2038823
b1970	1955	+	2038955	2039369
b1971	1956	+	2039477	2040482
b1972	1957	+	2040482	2041118
b1973	1958	+	2041374	2042025
b1974	1959	+	2042367	2042898
b1976	1960	+	2043650	2044448
b1978	1961	+	2044937	2052014
b1981	1962	+	2053642	2054959
b1982	1963	+	2055060	2056515
b1983	1964	+	2056857	2057574
b1985	1965	-	2058202	2059846
b1987	1966	-	2059963	2060914
b1988	1967	-	2061015	2061933
b1990	1968	-	2062390	2063323
b1991	1969	-	2063387	2064467
b1992	1970	-	2064478	2065222
b1993	1971	-	2065218	2065764
b1994	1972	-	2066304	2067285
b4582	1973	+	2068634	2068940
b1996	1974	-	2068951	2069857
b1997	1975	-	2069814	2070180
b2000	1976	+	2071538	2074658
b2001	1977	+	2074778	2076311
b2002	1978	+	2076307	2076754
b2003	1979	+	2076816	2077038
b2004	1980	+	2077111	2077480
b2005	1981	+	2077568	2077943
b2006	1982	+	2077939	2078134
b4538	1983	+	2078574	2078931
b2007	1984	-	2079031	2079361
b2008	1985	-	2079532	2080591
b2009	1986	-	2080788	2081262
b2010	1987	-	2081380	2082547
b2011	1988	+	2082755	2084183
b2012	1989	-	2084225	2084453
b2013	1990	-	2084466	2085525
b2014	1991	-	2085703	2087062
b4678	1992	-	2087051	2087114
b2015	1993	-	2087328	2088258
b2016	1994	-	2088303	2089128
b4539	1995	-	2089210	2089465
b2017	1996	-	2089461	2089713
b2018	1997	+	2089995	2090046
b2019	1998	+	2090191	2091091
b2020	1999	+	2091096	2092401
b2021	2000	+	2092397	2093468
b2022	2001	+	2093467	2094535
b2023	2002	+	2094534	2095125
b2024	2003	+	2095124	2095862
b2025	2004	+	2095843	2096620
b2026	2005	+	2096613	2097225
b2027	2006	-	2097320	2098301
b2028	2007	-	2098446	2099613
b2029	2008	-	2099861	2101268
b4571	2009	-	2102943	2103389
b2030	2010	-	2101894	2102875
b2032	2011	-	2103390	2104509
b2033	2012	-	2104493	2105084
b2034	2013	-	2105064	2106057
b2035	2014	-	2106059	2107226
b2036	2015	-	2107225	2108329
b2037	2016	-	2108336	2109584
b2038	2017	-	2109580	2110138
b2039	2018	-	2110137	2111019
b2040	2019	-	2111076	2111976
b2041	2020	-	2111975	2113061
b2042	2021	-	2113433	2114327
b2043	2022	-	2114501	2115896
b2044	2023	-	2115906	2117127
b2045	2024	-	2117123	2118404
b2046	2025	-	2118679	2120158
b2047	2026	-	2120159	2121554
b2048	2027	-	2121608	2122979
b2049	2028	-	2123083	2124520
b2050	2029	-	2124522	2125746
b2051	2030	-	2125742	2126222
b2052	2031	-	2126224	2127190
b2053	2032	-	2127192	2128314
b2054	2033	-	2128339	2128888
b2055	2034	-	2128903	2129650
b2056	2035	-	2129660	2130878
b2057	2036	-	2130852	2132070
b2058	2037	-	2132066	2132555
b2059	2038	-	2132557	2133397
b2060	2039	-	2133489	2135652
b2061	2040	-	2135654	2136098
b2062	2041	-	2136103	2137243
b2063	2042	+	2137901	2139485
b2064	2043	-	2139758	2141612
b2065	2044	-	2141633	2142215
b2066	2045	-	2142306	2142948
b2067	2046	+	2143265	2146583
b2068	2047	-	2146691	2147540
b2069	2048	+	2147673	2149026
b2070	2049	-	2149038	2150985
b2071	2050	+	2151184	2151646
b2072	2051	-	2151710	2152472
b2073	2052	-	2152468	2153128
b4667	2053	-	2153348	2153408
b4668	2054	-	2153680	2153737
b2074	2055	+	2154015	2155263
b2075	2056	+	2155262	2158385
b2076	2057	+	2158385	2161463
b2077	2058	+	2161463	2162879
b2078	2059	+	2162875	2164279
b2079	2060	+	2164275	2164998
b2080	2061	+	2165188	2165521
b2081	2062	+	2165667	2167029
b2082	2063	-	2167301	2167520
b2085	2064	-	2167988	2168306
b2086	2065	+	2168711	2169611
b4498	2066	-	2171428	2171727
b2088	2067	+	2170235	2170535
b2089	2068	+	2170531	2171398
b2091	2069	-	2171832	2172873
b2093	2070	-	2174281	2174566
b2094	2071	-	2174596	2175049
b2095	2072	-	2175058	2176321
b2096	2073	-	2176349	2177204
b2097	2074	-	2177511	2178564
b2098	2075	+	2178820	2180098
b2099	2076	+	2180094	2181099
b2100	2077	+	2181095	2182061
b2101	2078	-	2182034	2182781
b2102	2079	-	2182832	2183651
b2103	2080	-	2183715	2184516
b2104	2081	-	2184512	2185301
b2105	2082	-	2185523	2185796
b2106	2083	+	2185916	2186741
b2107	2084	+	2186959	2187298
b2108	2085	-	2187379	2188414
b2109	2086	-	2188429	2190910
b2110	2087	-	2190925	2191645
b2111	2088	-	2191679	2192222
b2112	2089	-	2192514	2192796
b2113	2090	-	2193058	2194168
b2114	2091	+	2194299	2196333
b2115	2092	+	2196473	2197298
b2118	2093	+	2200278	2203911
b4541	2094	+	2203971	2204289
b2119	2095	+	2204595	2205684
b2120	2096	+	2205694	2207974
b2121	2097	+	2207966	2209103
b2122	2098	+	2209099	2210944
b2123	2099	+	2211224	2211686
b2124	2100	-	2211725	2212196
b2125	2101	-	2212242	2212962
b2126	2102	-	2212958	2214644
b2127	2103	+	2214865	2215597
b4542	2104	+	2215656	2215764
b2128	2105	-	2215744	2216476
b2129	2106	-	2216480	2217407
b2130	2107	-	2217399	2218557
b2131	2108	-	2218563	2219481
b2132	2109	-	2219691	2221989
b2133	2110	+	2222184	2223900
b2134	2111	-	2223937	2224870
b2135	2112	-	2225043	2225631
b2136	2113	+	2225800	2226379
b2137	2114	-	2226508	2227270
b4679	2115	+	2228981	2229065
b2140	2116	-	2229437	2230385
b2141	2117	+	2230623	2231022
b2142	2118	+	2231018	2231714
b2143	2119	+	2231843	2232728
b2144	2120	+	2232877	2233597
b2145	2121	+	2233599	2233839
b2146	2122	+	2234032	2235271
b2147	2123	+	2235264	2236500
b2148	2124	-	2236742	2237753
b2149	2125	-	2237768	2239289
b2150	2126	-	2239349	2240348
b2151	2127	-	2240627	2241668
b2152	2128	-	2241809	2242967
b2153	2129	-	2242983	2243652
b2154	2130	+	2243909	2244746
b2155	2131	-	2244777	2246769
b2156	2132	-	2247062	2248532
b2157	2133	-	2248736	2249618
b2158	2134	+	2249716	2250766
b2159	2135	+	2250839	2251697
b2160	2136	+	2251699	2252788
b2161	2137	-	2252894	2254145
b2162	2138	-	2254244	2255186
b2163	2139	+	2255354	2256014
b2164	2140	-	2256084	2257335
b2165	2141	-	2257428	2258367
b2166	2142	-	2258354	2259296
b2167	2143	-	2259718	2261410
b2168	2144	-	2261426	2262365
b2169	2145	-	2262364	2263495
b2170	2146	+	2263862	2265044
b4502	2147	-	2265040	2265295
b2171	2148	+	2265449	2266022
b2172	2149	+	2266244	2267711
b2173	2150	+	2267828	2268815
b2174	2151	+	2268853	2269567
b2175	2152	+	2269978	2270545
b2176	2153	+	2270725	2272282
b2177	2154	+	2272363	2274178
b2178	2155	+	2274178	2275273
b2179	2156	+	2275272	2276298
b2180	2157	+	2276299	2277889
b2181	2158	-	2277892	2278237
b2182	2159	-	2278569	2279760
b2183	2160	-	2279787	2280483
b2184	2161	+	2280631	2282392
b2185	2162	+	2282516	2282801
b2186	2163	-	2282939	2283947
b2187	2164	+	2284128	2284356
b2188	2165	+	2284375	2286136
b2190	2166	-	2290113	2290180
b2192	2167	-	2289064	2290045
b2193	2168	+	2290499	2291147
b2194	2169	-	2291357	2292410
b2195	2170	-	2292406	2292964
b2196	2171	-	2292960	2294904
b2197	2172	-	2294900	2295380
b2198	2173	-	2295376	2295586
b2199	2174	-	2295582	2296320
b2200	2175	-	2296361	2297024
b2201	2176	-	2297020	2297644
b2202	2177	-	2297656	2298259
b2203	2178	-	2298268	2298718
b2204	2179	-	2298714	2299578
b2205	2180	-	2299564	2300260
b2206	2181	-	2300266	2302753
b2207	2182	-	2302749	2303013
b2208	2183	-	2303002	2303497
b4604	2184	+	2303605	2303770
b2209	2185	+	2303904	2304393
b2210	2186	-	2305107	2306754
b2211	2187	-	2306971	2308615
b2212	2188	-	2308690	2309341
b2213	2189	-	2309340	2310405
b2214	2190	-	2310478	2311534
b2215	2191	-	2311645	2312749
b2216	2192	+	2313487	2316160
b2217	2193	+	2316176	2316827
b2218	2194	-	2317026	2319876
b2219	2195	+	2320042	2321869
b2220	2196	+	2321865	2323251
b2221	2197	+	2323446	2324109
b2222	2198	+	2324108	2324759
b2223	2199	+	2324755	2326078
b2224	2200	+	2326108	2327293
b2225	2201	-	2327366	2328143
b2226	2202	-	2328147	2329797
b2229	2203	-	2334335	2334959
b2230	2204	-	2334955	2336644
b2231	2205	-	2336792	2339420
b2232	2206	+	2339566	2340289
b2233	2207	-	2340416	2344169
b4605	2208	-	2344593	2344737
b2234	2209	+	2344864	2347150
b4779	2210	-	2347349	2347385
b2235	2211	+	2347383	2348514
b2236	2212	+	2348513	2348768
b2237	2213	-	2348821	2349472
b2239	2214	-	2349934	2351011
b2240	2215	-	2351015	2352374
b2241	2216	+	2352646	2354275
b2242	2217	+	2354264	2355524
b2243	2218	+	2355520	2356711
b2244	2219	+	2356903	2357803
b2245	2220	-	2358041	2358845
b2246	2221	-	2358862	2360152
b2247	2222	-	2360208	2361414
b2248	2223	-	2361428	2362211
b2249	2224	-	2362430	2363633
b2250	2225	-	2363732	2364275
b2251	2226	+	2364553	2364979
b2252	2227	-	2365017	2365620
b2253	2228	+	2365909	2367067
b2254	2229	+	2367070	2368039
b2255	2230	+	2368038	2370021
b2256	2231	+	2370017	2370908
b2257	2232	+	2370907	2372560
b4544	2233	+	2372556	2372892
b2258	2234	+	2372891	2373278
b2259	2235	-	2373271	2373538
b2260	2236	-	2373647	2375003
b2261	2237	-	2374999	2375962
b2262	2238	-	2375961	2376819
b2263	2239	-	2376833	2377592
b2264	2240	-	2377588	2379259
b2265	2241	-	2379347	2380643
b2266	2242	-	2380721	2381027
b2267	2243	-	2381081	2381543
b2268	2244	+	2381607	2382525
b2269	2245	+	2382712	2383924
b2270	2246	-	2383994	2385722
b2271	2247	+	2385859	2386831
b2272	2248	+	2386933	2387437
b2273	2249	-	2387709	2388426
b2274	2250	+	2388634	2389057
b2275	2251	+	2389115	2389964
b2276	2252	-	2390047	2391505
b2277	2253	-	2391511	2393041
b2278	2254	-	2393204	2395046
b2279	2255	-	2395042	2395345
b2280	2256	-	2395341	2395896
b2281	2257	-	2395907	2396450
b2282	2258	-	2396464	2397442
b2283	2259	-	2397438	2400165
b2284	2260	-	2400217	2401555
b2285	2261	-	2401551	2402052
b2286	2262	-	2402054	2403845
b2287	2263	-	2403950	2404613
b2288	2264	-	2404628	2405072
b2289	2265	-	2405702	2406641
b2290	2266	+	2407560	2408778
b2291	2267	+	2408861	2409461
b2292	2268	-	2409519	2411352
b2293	2269	-	2411438	2412089
b2294	2270	-	2412099	2412594
b2295	2271	-	2412676	2413132
b2296	2272	+	2413469	2414672
b2297	2273	+	2414746	2416891
b2298	2274	+	2417080	2418601
b2299	2275	-	2418633	2419176
b2300	2276	-	2419233	2419788
b2301	2277	-	2419840	2420485
b2302	2278	+	2420620	2421268
b2303	2279	+	2421324	2421687
b2304	2280	+	2421707	2422601
b2305	2281	-	2422648	2423539
b2306	2282	-	2423735	2424509
b2307	2283	-	2424516	2425233
b2308	2284	-	2425229	2425916
b2309	2285	-	2426005	2426788
b2310	2286	-	2427008	2427791
b2311	2287	-	2428056	2428626
b2312	2288	-	2428720	2430238
b2313	2289	-	2430274	2430763
b2314	2290	-	2431021	2431684
b2315	2291	-	2431673	2432942
b2316	2292	-	2433011	2433926
b2317	2293	-	2434081	2434741
b2318	2294	-	2434823	2435636
b2319	2295	-	2435635	2436649
b2320	2296	-	2436714	2437851
b2321	2297	+	2437949	2438945
b2322	2298	-	2438941	2440120
b2323	2299	-	2440384	2441605
b2324	2300	+	2441763	2443770
b2325	2301	-	2443890	2444169
b2326	2302	-	2444202	2444751
b2327	2303	-	2444750	2445560
b2328	2304	-	2445559	2446384
b2329	2305	-	2446387	2447473
b2330	2306	-	2447507	2448440
b2331	2307	+	2448605	2449157
b2332	2308	-	2449227	2450049
b2333	2309	-	2450050	2450590
b2334	2310	-	2450586	2451075
b2335	2311	-	2451071	2451584
b2336	2312	-	2451583	2452336
b2339	2313	-	2455082	2455646
b2340	2314	-	2456326	2456812
b2341	2315	-	2457014	2459159
b2342	2316	-	2459158	2460469
b2343	2317	-	2460649	2460934
b2344	2318	+	2461305	2462646
b2345	2319	+	2463011	2464070
b2346	2320	-	2464251	2465007
b2347	2321	+	2465300	2466233
b2349	2322	+	2466544	2467702
b2350	2323	+	2467854	2468217
b2351	2324	+	2468213	2469134
b2352	2325	+	2469130	2470462
b4780	2326	-	2470496	2470643
b2354	2327	-	2471076	2471517
b2356	2328	-	2472111	2472387
b2357	2329	-	2472386	2472881
b2358	2330	-	2472877	2473246
b2359	2331	+	2473603	2473966
b2360	2332	+	2474031	2474856
b2361	2333	+	2474983	2475520
b2362	2334	+	2475510	2475873
b2363	2335	+	2475872	2476178
b4545	2336	+	2476093	2476234
b4501	2337	+	2476309	2476510
b2364	2338	-	2476693	2477629
b2365	2339	+	2477846	2479184
b2366	2340	+	2479201	2480530
b2367	2341	-	2480637	2482176
b2368	2342	-	2482175	2483339
b4781	2343	+	2483728	2483758
b2369	2344	+	2483754	2484369
b2370	2345	+	2484373	2487967
b2371	2346	-	2488022	2489168
b2372	2347	-	2489241	2490186
b2373	2348	-	2490255	2491950
b2374	2349	-	2492003	2493254
b2375	2350	-	2493766	2494402
b2376	2351	+	2494697	2494973
b2377	2352	-	2495049	2495292
b2378	2353	+	2495644	2496565
b4680	2354	+	2496920	2496992
b2379	2355	-	2497056	2498295
b2380	2356	+	2498670	2500368
b2381	2357	+	2500382	2501117
b2382	2358	+	2501129	2501987
b2383	2359	-	2501989	2504485
b2384	2360	-	2504509	2505547
b2385	2361	-	2505546	2506632
b2386	2362	-	2506646	2507894
b2387	2363	-	2507915	2508242
b2388	2364	-	2508460	2509426
b2389	2365	+	2509629	2510886
b2390	2366	+	2511000	2511327
b2392	2367	-	2511467	2512706
b2393	2368	+	2513041	2514244
b2394	2369	+	2514330	2515443
b2395	2370	-	2515642	2517832
b2398	2371	+	2518466	2518811
b2399	2372	+	2518812	2519205
b2400	2373	-	2519256	2520672
b2405	2374	-	2521592	2522477
b2406	2375	-	2522728	2523985
b2407	2376	-	2524044	2524878
b2408	2377	+	2525126	2525891
b2409	2378	-	2525929	2526856
b2410	2379	+	2526945	2527944
b4546	2380	-	2527940	2528159
b2411	2381	-	2528160	2530176
b2412	2382	-	2530246	2531233
b2413	2383	+	2531462	2532224
b2414	2384	+	2532408	2533380
b2415	2385	+	2533763	2534021
b2416	2386	+	2534065	2535793
b2417	2387	+	2535833	2536343
b2418	2388	-	2536385	2537237
b2419	2389	+	2537341	2537716
b2420	2390	+	2537748	2538483
b2421	2391	-	2538671	2539583
b2422	2392	-	2539716	2540814
b2423	2393	-	2540803	2541679
b2424	2394	-	2541678	2542512
b2425	2395	-	2542511	2543528
b2426	2396	-	2543831	2544623
b2427	2397	-	2544751	2545609
b2428	2398	+	2545772	2546669
b2429	2399	+	2546672	2548097
b2430	2400	+	2548101	2549406
b2431	2401	-	2549645	2550545
b2432	2402	-	2550640	2551216
b2433	2403	-	2551276	2551726
b2434	2404	-	2551712	2552138
b2435	2405	+	2552351	2553221
b2436	2406	+	2553224	2554124
b2437	2407	-	2554129	2555182
b2438	2408	-	2555227	2555728
b2439	2409	-	2555740	2556400
b2440	2410	-	2556409	2557297
b2441	2411	-	2557317	2558679
b2442	2412	+	2558857	2560066
b2443	2413	+	2560256	2560898
b2444	2414	+	2561367	2561613
b2445	2415	+	2561624	2561993
b2446	2416	+	2562110	2562527
b2447	2417	+	2562523	2563117
b2448	2418	+	2563591	2563969
b2449	2419	+	2563979	2564372
b2450	2420	+	2564522	2565332
b2451	2421	-	2565480	2566884
b2452	2422	-	2566880	2568107
b2453	2423	-	2568323	2569511
b2454	2424	-	2569500	2570337
b2455	2425	-	2570347	2571751
b2456	2426	-	2571762	2572050
b2457	2427	-	2572156	2572450
b2458	2428	-	2572488	2573505
b2459	2429	-	2573501	2574305
b2460	2430	-	2574301	2575003
b2461	2431	-	2574977	2575457
b2462	2432	-	2575469	2575805
b2463	2433	-	2576097	2578377
b2464	2434	+	2578665	2579616
b2465	2435	+	2579635	2581639
b2466	2436	-	2581733	2582777
b2467	2437	-	2582902	2583478
b2468	2438	-	2583545	2585525
b2469	2439	+	2585730	2587431
b2470	2440	+	2587594	2590708
b4606	2441	-	2590806	2590866
b2471	2442	+	2591246	2591603
b2472	2443	+	2591606	2592734
b4547	2444	+	2592761	2592962
b2473	2445	-	2593071	2593770
b2474	2446	-	2593843	2595859
b2475	2447	-	2595873	2596737
b2476	2448	-	2596904	2597618
b2477	2449	-	2597830	2598865
b2478	2450	-	2598881	2599760
b2479	2451	+	2599905	2600478
b2480	2452	+	2600477	2600948
b2481	2453	+	2601200	2601818
b2482	2454	+	2601817	2603836
b2483	2455	+	2603846	2604794
b2484	2456	+	2604810	2606250
b2485	2457	+	2606261	2606912
b2486	2458	+	2606916	2608497
b2487	2459	+	2608486	2610154
b2488	2460	+	2610163	2610709
b2489	2461	+	2610705	2611464
b2490	2462	+	2611456	2611870
b2491	2463	+	2611899	2613912
b2492	2464	+	2613933	2614782
b2493	2465	-	2614819	2615881
b2494	2466	+	2616093	2617557
b2495	2467	+	2617577	2617937
b2496	2468	-	2618074	2618776
b2497	2469	-	2618870	2620160
b2498	2470	-	2620245	2620872
b2499	2471	+	2621196	2622234
b2500	2472	+	2622233	2622872
b2501	2473	+	2623043	2625110
b2502	2474	+	2625114	2626656
b2503	2475	-	2626694	2628938
b2504	2476	+	2629289	2629481
b2505	2477	+	2629791	2630310
b2506	2478	+	2630325	2630865
b2507	2479	-	2630957	2632535
b2508	2480	-	2632603	2634070
b2509	2481	+	2634231	2635602
b2510	2482	-	2635598	2635814
b2511	2483	-	2635883	2637356
b2512	2484	-	2637473	2638652
b2513	2485	-	2638662	2639283
b2514	2486	-	2639300	2640575
b2515	2487	-	2640685	2641804
b2516	2488	-	2641830	2642844
b2517	2489	-	2643128	2644283
b2518	2490	-	2644432	2644864
b2519	2491	-	2645012	2647325
b2520	2492	-	2647325	2652287
b2521	2493	+	2652493	2653339
b2522	2494	-	2654156	2654933
b2523	2495	-	2655074	2656358
b2524	2496	-	2656535	2656736
b2525	2497	-	2656747	2657083
b2526	2498	-	2657084	2658935
b2527	2499	-	2658951	2659467
b2528	2500	-	2659562	2659886
b2529	2501	-	2659902	2660289
b2530	2502	-	2660316	2661531
b2531	2503	-	2661642	2662131
b2532	2504	-	2662582	2663323
b2533	2505	+	2663441	2664245
b2534	2506	+	2664389	2665244
b2535	2507	+	2665434	2666715
b2536	2508	-	2666706	2667846
b2537	2509	-	2668005	2668896
b4706	2510	-	2668005	2668071
b2538	2511	+	2669031	2670393
b2539	2512	+	2670389	2670908
b2540	2513	+	2670907	2671228
b2541	2514	+	2671224	2672037
b2542	2515	+	2672046	2673249
b2543	2516	+	2673345	2673768
b2544	2517	-	2673815	2674688
b2545	2518	-	2674699	2675761
b2546	2519	-	2675826	2676825
b2547	2520	-	2676849	2678361
b2548	2521	-	2678383	2679367
b2549	2522	-	2679463	2682745
b2550	2523	+	2682862	2684056
b2551	2524	-	2684253	2685507
b2552	2525	+	2685834	2687025
b2553	2526	-	2687069	2687408
b2554	2527	-	2687468	2688803
b2555	2528	-	2688792	2689506
b2556	2529	-	2689670	2691098
b2557	2530	-	2691655	2695543
b2558	2531	+	2695800	2697357
b2559	2532	-	2697353	2697857
b2560	2533	-	2697914	2698550
b2561	2534	+	2698758	2699607
b2562	2535	+	2699662	2699923
b4687	2536	-	2700116	2700197
b2563	2537	-	2700617	2700998
b2564	2538	-	2700997	2701729
b2565	2539	-	2701740	2702469
b2566	2540	-	2702480	2703386
b2567	2541	-	2703382	2704063
b2568	2542	-	2704334	2705309
b2569	2543	-	2705324	2707124
b2570	2544	-	2707321	2707801
b2571	2545	-	2707797	2708754
b2572	2546	-	2708753	2709404
b2573	2547	-	2709436	2710012
b4725	2548	-	2710008	2710164
b2574	2549	+	2710419	2712042
b2575	2550	-	2712026	2712764
b2576	2551	+	2712895	2714230
b2577	2552	-	2714438	2715320
b2578	2553	+	2715422	2716010
b2579	2554	-	2716065	2716449
b2580	2555	+	2716753	2717443
b2581	2556	-	2717490	2718528
b2582	2557	+	2718734	2719154
b2583	2558	+	2719222	2719921
b2584	2559	+	2719952	2722613
b4782	2560	+	2722701	2722743
b2585	2561	+	2722726	2724082
b2586	2562	+	2724127	2724451
b2587	2563	-	2724447	2725746
b4783	2564	+	2725924	2725987
b2592	2565	-	2731599	2734173
b2592	2566	-	2731599	2733729
b2593	2567	-	2734302	2735034
b2594	2568	-	2735030	2736011
b2595	2569	+	2736145	2736883
b2597	2570	+	2737153	2737495
b2598	2571	+	2737598	2737646
b2599	2572	+	2737744	2738905
b2600	2573	-	2738947	2740069
b2601	2574	-	2740079	2741150
b2602	2575	+	2741359	2741725
b2603	2576	+	2741874	2742393
b2604	2577	+	2742382	2743609
b2605	2578	+	2743624	2744107
b2606	2579	-	2744182	2744530
b2607	2580	-	2744571	2745339
b2608	2581	-	2745369	2745918
b2609	2582	-	2745936	2746185
b2610	2583	-	2746433	2747795
b2611	2584	+	2747961	2748753
b4461	2585	+	2748773	2750060
b2614	2586	-	2750114	2750708
b2615	2587	+	2750830	2751709
b2616	2588	+	2751794	2753456
b2617	2589	+	2753604	2753946
b2618	2590	-	2754007	2754298
b2619	2591	-	2754287	2754764
b2620	2592	+	2754895	2755378
b2622	2593	+	2756158	2757400
b2623	2594	-	2757643	2758600
b2624	2595	+	2758643	2758856
b2625	2596	+	2758984	2760394
b2626	2597	+	2760546	2761173
b2627	2598	-	2761350	2763540
b2628	2599	-	2763536	2765153
b2629	2600	-	2765512	2765776
b2630	2601	+	2765917	2766991
b2631	2602	+	2766983	2767355
b2632	2603	+	2767709	2768573
b2633	2604	+	2768664	2769486
b2634	2605	+	2769702	2770404
b2635	2606	+	2770444	2770681
b2636	2607	+	2770680	2771124
b2637	2608	+	2771147	2771615
b2638	2609	-	2771839	2772154
b2642	2610	+	2773317	2775021
b2643	2611	+	2775918	2776377
b2644	2612	+	2776385	2776868
b4548	2613	+	2776876	2777077
b2645	2614	+	2777114	2777432
b2646	2615	+	2777452	2777782
b2647	2616	-	2778145	2782726
b2649	2617	-	2783637	2784429
b2650	2618	-	2784528	2785011
b2659	2619	+	2788984	2789962
b2660	2620	+	2789981	2791250
b2661	2621	+	2791272	2792721
b2662	2622	+	2792734	2794015
b2663	2623	+	2794252	2795653
b2664	2624	+	2795673	2796336
b2665	2625	-	2796336	2796786
b2666	2626	-	2796869	2797028
b2667	2627	+	2797210	2797510
b2668	2628	+	2797519	2798044
b2669	2629	-	2798090	2798495
b2670	2630	+	2799163	2799613
b2671	2631	-	2799649	2799994
b2672	2632	+	2800145	2800475
